"","Config","Dimensao","Repeticao","Valor"
"398","Config 1",18,13,176791.574555912
"399","Config 1",18,14,165097.88384261
"400","Config 1",18,15,187588.345384907
"401","Config 1",18,16,180337.658426263
"402","Config 1",18,17,241019.913026043
"403","Config 1",18,18,247108.064221903
"404","Config 1",18,19,240691.323008646
"405","Config 1",18,20,191852.340221636
"406","Config 1",18,21,298480.552124878
"407","Config 1",18,22,232770.203845502
"408","Config 1",18,23,193340.981417861
"409","Config 1",18,24,247569.345924285
"410","Config 1",18,25,205005.780851956
"411","Config 1",18,26,283372.844322678
"412","Config 1",18,27,179220.513168307
"413","Config 1",18,28,176592.871394087
"414","Config 1",18,29,282656.963467191
"415","Config 1",18,30,124671.146488211
"416","Config 1",18,31,225219.730326409
"417","Config 1",18,32,164049.357005032
"418","Config 1",18,33,261266.251393441
"419","Config 1",18,34,256944.155572747
"420","Config 1",18,35,135846.971179158
"421","Config 1",18,36,179371.779597753
"422","Config 1",18,37,200699.411337717
"423","Config 1",18,38,237312.740997064
"424","Config 1",18,39,211057.100500691
"425","Config 1",18,40,186684.063047092
"426","Config 1",18,41,192249.928683598
"427","Config 1",18,42,204628.068883369
"428","Config 1",18,43,234292.620971483
"429","Config 1",18,44,171252.211767094
"430","Config 1",18,45,240918.021213239
"431","Config 1",18,46,251854.443687897
"432","Config 1",18,47,202271.395157875
"433","Config 2",18,0,26.5540113669442
"434","Config 2",18,1,22.7584101769151
"435","Config 2",18,2,28.0523994857035
"436","Config 2",18,3,21.3493863906538
"437","Config 2",18,4,26.3316903389877
"438","Config 2",18,5,27.601103103389
"439","Config 2",18,6,22.8837983484347
"440","Config 2",18,7,22.7717751859166
"441","Config 2",18,8,25.6571702325274
"442","Config 2",18,9,29.8563775922912
"443","Config 2",18,10,22.1422406244576
"444","Config 2",18,11,29.0418722232659
"445","Config 2",18,12,19.1471126575908
"446","Config 2",18,13,21.3687569287819
"447","Config 2",18,14,34.5054634151133
"448","Config 2",18,15,23.2868660194603
"449","Config 2",18,16,28.0961527139306
"450","Config 2",18,17,25.3505635322655
"451","Config 2",18,18,25.1793098670525
"452","Config 2",18,19,31.8260709756359
"453","Config 2",18,20,23.1871715942134
"454","Config 2",18,21,31.1439418506778
"455","Config 2",18,22,41.5738966125838
"456","Config 2",18,23,21.2448500086978
"457","Config 2",18,24,27.8198894333343
"458","Config 2",18,25,25.2372692580551
"459","Config 2",18,26,26.3003446186818
"460","Config 2",18,27,25.5179562056508
"461","Config 2",18,28,22.4957168805235
"462","Config 2",18,29,21.0005219136913
"463","Config 2",18,30,26.6678817826095
"464","Config 2",18,31,22.6148341573193
"465","Config 2",18,32,30.1341516494878
"466","Config 2",18,33,22.3960319811347
"467","Config 2",18,34,30.0860429045953
"468","Config 2",18,35,24.5049100435274
"469","Config 2",18,36,20.8577225980598
"470","Config 2",18,37,29.9159591266598
"471","Config 2",18,38,30.564213354289
"472","Config 2",18,39,22.0278419362806
"473","Config 2",18,40,26.2905151339571
"474","Config 2",18,41,23.5221781126225
"475","Config 2",18,42,27.6850080844159
"476","Config 2",18,43,23.2706115808635
"477","Config 2",18,44,28.9222323424046
"478","Config 2",18,45,21.7969013221419
"479","Config 2",18,46,26.4371265171532
"480","Config 2",18,47,26.7924753857846
"481","Config 1",22,0,321245.503427982
"482","Config 1",22,1,407208.774724387
"483","Config 1",22,2,396404.179538787
"484","Config 1",22,3,402046.857327161
"485","Config 1",22,4,355330.245464234
"486","Config 1",22,5,405673.177530699
"487","Config 1",22,6,327056.03322816
"488","Config 1",22,7,286783.607299158
"489","Config 1",22,8,337557.434454805
"490","Config 1",22,9,364942.493276017
"491","Config 1",22,10,363489.620021426
"492","Config 1",22,11,370434.853996053
"493","Config 1",22,12,412924.590269467
"494","Config 1",22,13,409090.615327293
"495","Config 1",22,14,363865.781119356
"496","Config 1",22,15,285127.32410881
"497","Config 1",22,16,446862.61125252
"498","Config 1",22,17,282118.92594247
"499","Config 1",22,18,392676.474050401
"500","Config 1",22,19,358047.719530716
"501","Config 1",22,20,384813.651628616
"502","Config 1",22,21,346093.692578509
"503","Config 1",22,22,282595.571029586
"504","Config 1",22,23,386451.548811943
"505","Config 1",22,24,350257.570448387
"506","Config 1",22,25,388001.143574695
"507","Config 1",22,26,391390.654538142
"508","Config 1",22,27,432849.333576735
"509","Config 1",22,28,323927.436528465
"510","Config 1",22,29,361729.375165005
"511","Config 1",22,30,329450.555069657
"512","Config 1",22,31,402427.905211955
"513","Config 1",22,32,295799.286134549
"514","Config 1",22,33,334949.423092898
"515","Config 1",22,34,387895.735873505
"516","Config 1",22,35,422104.603414025
"517","Config 1",22,36,367292.02272105
"518","Config 1",22,37,307372.748681549
"519","Config 1",22,38,215754.028906657
"520","Config 1",22,39,350338.940477839
"521","Config 1",22,40,379763.761200999
"522","Config 1",22,41,313204.588572848
"523","Config 1",22,42,323166.518245248
"524","Config 1",22,43,362566.832141469
"525","Config 1",22,44,374085.478966366
"526","Config 1",22,45,459368.148101651
"527","Config 1",22,46,382365.338196882
"528","Config 1",22,47,344812.105858147
"529","Config 2",22,0,61.6663550996445
"530","Config 2",22,1,48.475894186059
"531","Config 2",22,2,44.7846530113186
"532","Config 2",22,3,49.3100059533036
"533","Config 2",22,4,46.2429577140583
"534","Config 2",22,5,48.32800900822
"535","Config 2",22,6,63.5037515977701
"536","Config 2",22,7,61.8914357510494
"537","Config 2",22,8,40.3342555384086
"538","Config 2",22,9,59.0997055760421
"539","Config 2",22,10,42.3513727637805
"540","Config 2",22,11,34.9108375021013
"541","Config 2",22,12,45.6584792491966
"542","Config 2",22,13,44.058937671986
"543","Config 2",22,14,38.9556547790805
"544","Config 2",22,15,48.6926977428645
"545","Config 2",22,16,55.9354414473713
"546","Config 2",22,17,56.0442587528757
"547","Config 2",22,18,56.5008947342081
"548","Config 2",22,19,60.3900536887291
"549","Config 2",22,20,51.4954350928483
"550","Config 2",22,21,39.5759301967074
"551","Config 2",22,22,68.1921955698045
"552","Config 2",22,23,60.9211440442226
"553","Config 2",22,24,49.7922448128074
"554","Config 2",22,25,95.1086174232078
"555","Config 2",22,26,73.6069995173781
"556","Config 2",22,27,58.5833478644125
"557","Config 2",22,28,45.5072958294427
"558","Config 2",22,29,44.0681486373795
"559","Config 2",22,30,46.5386223137209
"560","Config 2",22,31,44.0464039990712
"561","Config 2",22,32,55.8426060781455
"562","Config 2",22,33,49.9609674540325
"563","Config 2",22,34,69.2181139549282
"564","Config 2",22,35,55.9596831756512
"565","Config 2",22,36,54.1991090102881
"566","Config 2",22,37,64.3873964446072
"567","Config 2",22,38,62.3642033226101
"568","Config 2",22,39,44.9612685024313
"569","Config 2",22,40,65.2597520867253
"570","Config 2",22,41,48.5346601833069
"571","Config 2",22,42,44.6930012702417
"572","Config 2",22,43,48.0282355708839
"573","Config 2",22,44,70.6849399505369
"574","Config 2",22,45,58.2895530933849
"575","Config 2",22,46,45.2192763443477
"576","Config 2",22,47,57.9247909545644
"577","Config 1",26,0,396486.155811749
"578","Config 1",26,1,525189.804292395
"579","Config 1",26,2,490655.194929193
"580","Config 1",26,3,510120.481080855
"581","Config 1",26,4,501776.440150947
"582","Config 1",26,5,556235.366226421
"583","Config 1",26,6,455302.654602637
"584","Config 1",26,7,457022.473134416
"585","Config 1",26,8,581805.943312163
"586","Config 1",26,9,460770.972596933
"587","Config 1",26,10,513633.106032466
"588","Config 1",26,11,507719.773230266
"589","Config 1",26,12,544746.649742052
"590","Config 1",26,13,583947.076964803
"591","Config 1",26,14,450817.754596201
"592","Config 1",26,15,477500.079946614
"593","Config 1",26,16,447085.361140584
"594","Config 1",26,17,526008.761174269
"595","Config 1",26,18,457754.693762763
"596","Config 1",26,19,393002.664763751
"597","Config 1",26,20,340022.234077277
"598","Config 1",26,21,502767.220687485
"599","Config 1",26,22,435823.051251529
"600","Config 1",26,23,450572.202887814
"601","Config 1",26,24,531336.81765413
"602","Config 1",26,25,475460.696949681
"603","Config 1",26,26,497627.328099594
"604","Config 1",26,27,502321.957135206
"605","Config 1",26,28,403717.375470891
"606","Config 1",26,29,502743.232774027
"607","Config 1",26,30,452749.923817508
"608","Config 1",26,31,483081.619564598
"609","Config 1",26,32,294450.322737782
"610","Config 1",26,33,464680.623533942
"611","Config 1",26,34,458412.869745918
"612","Config 1",26,35,418359.320835847
"613","Config 1",26,36,473777.541489467
"614","Config 1",26,37,398265.617203857
"615","Config 1",26,38,488974.45105106
"616","Config 1",26,39,518036.598546674
"617","Config 1",26,40,548850.671195195
"618","Config 1",26,41,514921.577915383
"619","Config 1",26,42,492237.8722758
"620","Config 1",26,43,428592.161883774
"621","Config 1",26,44,535271.388800689
"622","Config 1",26,45,413729.210210341
"623","Config 1",26,46,407577.067415333
"624","Config 1",26,47,504537.561462071
"625","Config 2",26,0,101.175728907404
"626","Config 2",26,1,93.593889575674
"627","Config 2",26,2,129.76785727816
"628","Config 2",26,3,97.3715479431473
"629","Config 2",26,4,128.258985014081
"630","Config 2",26,5,102.317394045522
"631","Config 2",26,6,87.5548522326079
"632","Config 2",26,7,127.164856177696
